日付,場名,R,競走名,条件,格,距離,馬場,状態,天候,出走馬名,騎手,性齢,斤量,頭数,人気,単勝,結果,タイム,上り,着差,馬体重,増減,賞金,Rt,管理調教師,母父名,venue_type,race_class
2025-10-19,京都,5,メイクデビュー京都,2歳新馬,,2000,芝,良,曇,ヴァロンブローサ,北村友一,牡2,56.0,11,5,9.7,1,2:02.1,35.8,-0.2,462,初出走,7500000,,池添学,Galileo,中央,条件・未勝利
2025-10-19,京都,5,メイクデビュー京都,2歳新馬,,2000,芝,良,曇,パウンドフォーワン,坂井瑠星,牡2,56.0,11,4,8.2,4,2:02.4,35.6,0.3,488,初出走,1100000,,田中克典,Invincible Spirit,中央,条件・未勝利
2025-10-19,京都,5,メイクデビュー京都,2歳新馬,,2000,芝,良,曇,マジョレルブルー,川田将雅,牡2,56.0,11,3,5.1,5,2:02.4,35.9,0.3,464,初出走,750000,,友道康夫,シンボリクリスエス,中央,条件・未勝利
2025-10-19,東京,5,メイクデビュー東京,2歳新馬,,1800,芝,良,雨,ランズダウンロード,戸崎圭太,牡2,56.0,18,1,3.1,6,1:50.8,33.9,0.6,470,初出走,0,,木村哲也,Medicean,中央,条件・未勝利
2025-10-25,京都,1,2歳未勝利,2歳未勝利,,1400,ダート,良,曇,リアライズガイザー,西村淳也,牡2,56.0,14,1,2.5,6,1:27.1,40.4,0.8,514,6,0,,杉山晴紀,City Zip,中央,条件・未勝利
2025-10-25,京都,5,メイクデビュー京都,2歳新馬,,1600,芝,良,曇,アスクウルトラモア,西村淳也,牡2,56.0,14,6,21.7,8,1:36.4,35.9,1.6,408,初出走,0,,矢作芳人,Kendargent,中央,条件・未勝利
2025-10-25,東京,11,アルテミスS,2歳OP牝,GIII,1600,芝,稍重,雨,バースデイフライト,和田竜二,牝2,55.0,10,6,16.3,8,1:34.7,34.4,0.9,458,14,0,98,新谷功一,War Front,中央,重賞
2025-10-25,東京,2,2歳未勝利,2歳未勝利牝,,1600,芝,良,小雨,ジュラトリー,津村明秀,牝2,55.0,10,3,10.6,3,1:35.2,34.8,0.3,470,10,1400000,,池上昌和,Lope de Vega,中央,条件・未勝利
2025-10-25,東京,2,2歳未勝利,2歳未勝利牝,,1600,芝,良,小雨,ボーントゥラブユー,三浦皇成,牝2,55.0,10,5,24.5,4,1:35.2,34.8,0.3,464,8,840000,,小笠倫弘,Street Cry,中央,条件・未勝利
2025-10-25,東京,2,2歳未勝利,2歳未勝利牝,,1600,芝,良,小雨,サンセリテ,戸崎圭太,牝2,55.0,10,1,1.1,6,1:35.8,36.0,0.9,440,2,0,,鹿戸雄一,Street Sence,中央,条件・未勝利
2025-10-25,東京,5,メイクデビュー東京,2歳新馬,,2000,芝,良,小雨,ジングアップ,木幡巧也,牡2,56.0,9,8,54.8,7,2:04.0,34.3,0.9,440,初出走,0,,大竹正博,Storm Cat,中央,条件・未勝利
2025-10-26,京都,5,メイクデビュー京都,2歳新馬,,1800,芝,稍重,曇,テルヒコウ,坂井瑠星,牡2,56.0,10,3,7.0,1,1:50.5,33.7,-0.4,486,初出走,7500000,,矢作芳人,ヴィクトワールピサ,中央,条件・未勝利
2025-10-26,京都,5,メイクデビュー京都,2歳新馬,,1800,芝,稍重,曇,スウィーティーベル,北村友一,牝2,55.0,10,5,23.0,5,1:51.7,34.1,1.2,408,初出走,750000,,田中克典,Star Dabbler,中央,条件・未勝利
2025-10-26,京都,5,メイクデビュー京都,2歳新馬,,1800,芝,稍重,曇,グラシアムヘール,松山弘平,牝2,55.0,10,2,6.4,7,1:52.0,34.9,1.5,496,初出走,0,,藤原英昭,Quality Road,中央,条件・未勝利
2025-10-26,京都,9,萩S,2歳OP,L,1800,芝,稍重,曇,バドリナート,坂井瑠星,牡2,56.0,8,3,4.0,1,1:47.1,34.3,-0.1,488,-2,17168000,106,松永幹夫,Galileo,中央,リステッド
2025-10-26,東京,5,メイクデビュー東京,2歳新馬,,1800,芝,稍重,小雨,ゲンパチミスティ,大野拓弥,牝2,55.0,16,12,87.8,16,1:55.0,36.8,5.4,474,初出走,0,,西田雄一郎,Into Mischief,中央,条件・未勝利
